,date,open,high,low,close,volume,fundname
0,2021-01-22,1.014,1.103,1.014,1.103,438267,sz161726
1,2021-01-25,1.213,1.213,1.213,1.213,594997,sz161726
2,2021-01-26,1.092,1.092,1.092,1.092,5168500,sz161726
3,2021-01-27,1.028,1.038,0.995,1.023,12569213,sz161726
4,2021-01-28,1.018,1.022,0.99,0.992,5879342,sz161726
5,2021-01-29,0.996,1.01,0.97,0.99,4369703,sz161726
6,2021-02-01,0.99,1.015,0.973,1.013,4484333,sz161726
7,2021-02-02,1.012,1.025,0.998,1.025,4356713,sz161726
8,2021-02-03,1.025,1.058,1.018,1.042,6287160,sz161726
9,2021-02-04,1.042,1.053,1.019,1.03,2561953,sz161726
10,2021-02-05,1.031,1.069,1.031,1.058,7059987,sz161726
11,2021-02-08,1.058,1.068,1.045,1.065,2765661,sz161726
12,2021-02-09,1.065,1.083,1.065,1.082,4327978,sz161726
13,2021-02-10,1.083,1.13,1.071,1.122,5728876,sz161726
14,2021-02-18,1.16,1.17,1.081,1.089,8169867,sz161726
15,2021-02-19,1.077,1.077,1.05,1.066,4535414,sz161726
16,2021-02-22,1.066,1.066,1.028,1.028,5380938,sz161726
17,2021-02-23,1.02,1.051,1.006,1.019,4825660,sz161726
18,2021-02-24,1.015,1.038,1.0,1.005,6352067,sz161726
19,2021-02-25,0.996,1.001,0.975,0.98,6147777,sz161726
20,2021-02-26,0.929,0.956,0.929,0.939,7905886,sz161726
21,2021-03-01,0.941,0.96,0.941,0.956,6167380,sz161726
22,2021-03-02,0.964,0.964,0.929,0.937,4294167,sz161726
23,2021-03-03,0.937,0.952,0.929,0.952,1596220,sz161726
24,2021-03-04,0.952,0.952,0.912,0.916,4875324,sz161726
25,2021-03-05,0.904,0.925,0.89,0.918,1668796,sz161726
26,2021-03-08,0.919,0.929,0.87,0.874,3413922,sz161726
27,2021-03-09,0.874,0.9,0.83,0.836,3295414,sz161726
28,2021-03-10,0.838,0.862,0.838,0.854,3033365,sz161726
29,2021-03-11,0.856,0.889,0.856,0.88,3064134,sz161726
