日期,基金代码,动量值
2020-07-10,sz159992,116.16161616161600
2020-07-10,sh512690,125.74762946754200
2020-07-13,sz159915,125.20107238605900
2020-07-13,sz159992,119.49013157894700
2020-07-13,sh512690,130.8185053380780
2020-07-14,sz159915,122.27132125497100
2020-07-14,sz159992,118.15960912052100
2020-07-14,sh512690,128.64214992927900
2020-07-15,sz159915,117.98872995231900
2020-07-15,sz159992,116.65344964314000
2020-07-15,sh512690,127.29766803840900
2020-07-16,sz159915,110.87993064586000
2020-07-16,sz159992,110.10425020048100
2020-07-16,sh512690,116.33493479752900
2020-07-17,sz159915,112.54901960784300
2020-07-17,sz159992,111.20826709062000
2020-07-17,sh512690,115.55860178204200
2020-07-20,sz159915,110.68249258160200
2020-07-20,sz159992,108.73634945397800
2020-07-20,sh512690,111.52564956695500
2020-07-21,sz159915,112.85226302305700
2020-07-21,sz159992,114.54545454545500
2020-07-21,sh512690,107.42138364779900
2020-07-22,sz159915,113.95744680851100
2020-07-22,sz159992,117.68924302788800
2020-07-22,sh512690,107.73993808049500
2020-07-23,sz159915,113.69747899159700
2020-07-23,sz159992,119.65272296764000
2020-07-23,sh512690,109.44931163954900
2020-07-24,sz159915,103.55102040816300
2020-07-24,sz159992,112.20472440944900
2020-07-24,sh512690,101.52625152625200
2020-07-27,sz159915,101.47822612864600
2020-07-27,sz159992,111.36712749616000
2020-07-27,sh512690,99.8805256869773
2020-07-28,sz159915,99.96114996115000
2020-07-28,sz159992,110.81288343558300
2020-07-28,sh512690,102.26190476190500
2020-07-29,sz159915,100.22438294689600
2020-07-29,sz159992,111.38032305433200
2020-07-29,sh512690,101.8192488262910
2020-07-30,sz159915,98.7709497206704
2020-07-30,sz159992,110.36231884058000
2020-07-30,sh512690,101.33410672853800
2020-07-31,sz159915,96.6452533904354
2020-07-31,sz159992,106.88231245698600
2020-07-31,sh512690,94.99455930359090
2020-08-03,sz159915,100.25298156848600
2020-08-03,sz159992,109.02825637491400
2020-08-03,sh512690,96.59153380978560
2020-08-04,sz159915,100.5878030859660
2020-08-04,sz159992,106.93405846363000
2020-08-04,sh512690,94.23491379310340
2020-08-05,sz159915,108.01407349491800
2020-08-05,sz159992,117.47997086671500
2020-08-05,sh512690,102.83185840708000
2020-08-06,sz159915,105.26519550909800
2020-08-06,sz159992,112.15153681200900
2020-08-06,sh512690,101.36417556346400
2020-08-07,sz159915,101.76177709689800
2020-08-07,sz159992,110.32998565279800
2020-08-07,sh512690,99.4026284348865
2020-08-10,sz159915,99.9243284146803
2020-08-10,sz159992,105.65907522429300
2020-08-10,sh512690,98.4192037470726
2020-08-11,sz159915,97.0873786407767
2020-08-11,sz159992,102.16655382532200
2020-08-11,sh512690,97.18390804597700
2020-08-12,sz159915,94.16112342941610
2020-08-12,sz159992,95.97625329815300
2020-08-12,sh512690,94.73985134362490
2020-08-13,sz159915,99.92116673236110
2020-08-13,sz159992,100.0
2020-08-13,sh512690,100.72158749248300
2020-08-14,sz159915,101.53543307086600
2020-08-14,sz159992,99.10344827586210
2020-08-14,sh512690,103.22966507177000
2020-08-17,sz159915,101.32141469102200
2020-08-17,sz159992,100.41522491349500
2020-08-17,sh512690,103.14318975553000
2020-08-18,sz159915,97.20149253731340
2020-08-18,sz159992,96.90177982860910
2020-08-18,sh512690,103.1700288184440
2020-08-19,sz159915,95.1734539969834
2020-08-19,sz159992,92.90873276428100
2020-08-19,sh512690,102.74756725815700
2020-08-20,sz159915,92.42983751846380
2020-08-20,sz159992,90.47005795235030
2020-08-20,sh512690,100.17182130584200
2020-08-21,sz159915,91.78082191780820
2020-08-21,sz159992,89.5701643489254
2020-08-21,sh512690,101.76437108708000
2020-08-24,sz159915,94.85025566106650
2020-08-24,sz159992,89.70120788302610
2020-08-24,sh512690,104.45969125214400
2020-08-25,sz159915,94.49873326094830
2020-08-25,sz159992,87.78673279603220
2020-08-25,sh512690,108.66322432587500
2020-08-26,sz159915,93.8212578153733
2020-08-26,sz159992,89.73868706182280
2020-08-26,sh512690,110.76653013458200
2020-08-27,sz159915,97.92999623635680
2020-08-27,sz159992,92.32769830949290
2020-08-27,sh512690,114.90384615384600
2020-08-28,sz159915,100.94661113214700
2020-08-28,sz159992,96.14630960156760
2020-08-28,sh512690,118.26293872694800
2020-08-31,sz159915,101.42307692307700
2020-08-31,sz159992,96.55400927766740
2020-08-31,sh512690,119.04198698994700
2020-09-01,sz159915,104.3171114599690
2020-09-01,sz159992,99.5189003436426
2020-09-01,sh512690,118.94990947495500
2020-09-02,sz159915,105.56213017751500
2020-09-02,sz159992,101.33333333333300
2020-09-02,sh512690,116.65671641791000
2020-09-03,sz159915,102.86932919736300
2020-09-03,sz159992,100.06958942240800
2020-09-03,sh512690,115.06373117033600
2020-09-04,sz159915,101.18910625239700
2020-09-04,sz159992,98.20813232253620
2020-09-04,sh512690,109.08577878103800
2020-09-07,sz159915,97.85028790786950
2020-09-07,sz159992,92.99319727891160
2020-09-07,sh512690,105.75418994413400
2020-09-08,sz159915,101.58478605388300
2020-09-08,sz159992,97.45583038869260
2020-09-08,sh512690,103.28690807799400
2020-09-09,sz159915,97.48302037554930
2020-09-09,sz159992,93.30960854092530
2020-09-09,sh512690,103.43053173241900
2020-09-10,sz159915,94.38334642576590
2020-09-10,sz159992,92.23712067748760
2020-09-10,sh512690,102.9082774049220
2020-09-11,sz159915,94.30111667308430
2020-09-11,sz159992,93.83416017009210
2020-09-11,sh512690,103.94088669950700
