,date,open,high,low,close,volume,fundname
0,2021-04-14,0.977,1.01,0.977,1.009,101958505,sz159885
1,2021-04-15,1.004,1.011,0.996,1.009,28891009,sz159885
2,2021-04-16,1.01,1.013,0.986,1.002,19395184,sz159885
3,2021-04-19,0.998,1.051,0.998,1.049,80952101,sz159885
4,2021-04-20,1.045,1.062,1.027,1.049,65739855,sz159885
5,2021-04-21,1.048,1.054,1.035,1.047,32123247,sz159885
6,2021-04-22,1.047,1.062,1.041,1.055,19821753,sz159885
7,2021-04-23,1.055,1.076,1.051,1.072,20168116,sz159885
8,2021-04-26,1.074,1.088,1.048,1.05,24273297,sz159885
9,2021-04-27,1.041,1.052,1.029,1.042,14632066,sz159885
10,2021-04-28,1.043,1.073,1.042,1.067,16899663,sz159885
11,2021-04-29,1.067,1.075,1.058,1.072,11116974,sz159885
12,2021-04-30,1.063,1.105,1.063,1.096,20714850,sz159885
13,2021-05-06,1.097,1.118,1.072,1.087,16361540,sz159885
14,2021-05-07,1.097,1.1,1.063,1.068,20705021,sz159885
15,2021-05-10,1.065,1.08,1.05,1.072,11249143,sz159885
16,2021-05-11,1.073,1.073,1.042,1.063,14082281,sz159885
17,2021-05-12,1.062,1.069,1.051,1.061,7942787,sz159885
18,2021-05-13,1.056,1.056,1.039,1.043,11540849,sz159885
19,2021-05-14,1.043,1.063,1.031,1.061,16009947,sz159885
20,2021-05-17,1.061,1.097,1.057,1.093,22947545,sz159885
21,2021-05-18,1.097,1.102,1.084,1.089,12000133,sz159885
22,2021-05-19,1.094,1.115,1.08,1.109,13564579,sz159885
23,2021-05-20,1.11,1.119,1.096,1.104,6879734,sz159885
24,2021-05-21,1.105,1.126,1.095,1.107,12075908,sz159885
25,2021-05-24,1.107,1.113,1.094,1.109,10336118,sz159885
26,2021-05-25,1.11,1.126,1.098,1.126,9762922,sz159885
27,2021-05-26,1.126,1.126,1.109,1.109,12551958,sz159885
28,2021-05-27,1.109,1.121,1.106,1.116,7036176,sz159885
29,2021-05-28,1.118,1.168,1.118,1.147,20462156,sz159885
30,2021-05-31,1.169,1.197,1.149,1.193,14133784,sz159885
31,2021-06-01,1.193,1.193,1.165,1.184,16896037,sz159885
32,2021-06-02,1.185,1.204,1.17,1.179,10650064,sz159885
33,2021-06-03,1.176,1.176,1.151,1.158,13491729,sz159885
34,2021-06-04,1.144,1.193,1.144,1.177,15148937,sz159885
35,2021-06-07,1.178,1.181,1.141,1.152,21116004,sz159885
36,2021-06-08,1.152,1.177,1.141,1.15,14950109,sz159885
37,2021-06-09,1.149,1.159,1.144,1.157,8223917,sz159885
38,2021-06-10,1.158,1.208,1.158,1.203,24974589,sz159885
39,2021-06-11,1.203,1.241,1.2,1.227,22992643,sz159885
40,2021-06-15,1.231,1.245,1.202,1.212,13548930,sz159885
41,2021-06-16,1.212,1.217,1.158,1.162,21950114,sz159885
42,2021-06-17,1.154,1.185,1.154,1.185,9616914,sz159885
43,2021-06-18,1.185,1.225,1.178,1.217,15830040,sz159885
44,2021-06-21,1.217,1.237,1.2,1.232,16601614,sz159885
45,2021-06-22,1.232,1.24,1.214,1.234,12251308,sz159885
46,2021-06-23,1.24,1.273,1.24,1.264,14964812,sz159885
47,2021-06-24,1.268,1.287,1.256,1.278,12467067,sz159885
48,2021-06-25,1.286,1.299,1.28,1.294,15054707,sz159885
