,date,open,high,low,close,volume
0,2020-01-02,4.66,4.731,4.6,4.708,107285436
1,2020-01-03,4.724,4.733,4.686,4.697,34859399
2,2020-01-06,4.692,4.748,4.652,4.692,21745497
3,2020-01-07,4.708,4.75,4.708,4.749,16244273
4,2020-01-08,4.748,4.761,4.695,4.708,9556881
5,2020-01-09,4.73,4.802,4.73,4.796,9917954
6,2020-01-10,4.795,4.819,4.781,4.794,4631840
7,2020-01-13,4.79,4.858,4.79,4.858,4441574
8,2020-01-14,4.855,4.877,4.818,4.821,5632137
9,2020-01-15,4.822,4.838,4.785,4.819,7589321
10,2020-01-16,4.819,4.825,4.793,4.806,4738787
11,2020-01-17,4.81,4.848,4.803,4.809,3924111
12,2020-01-20,4.809,4.874,4.807,4.874,2993161
13,2020-01-21,4.825,4.869,4.78,4.782,4685598
14,2020-01-22,4.78,4.85,4.694,4.835,6386053
15,2020-01-23,4.787,4.793,4.612,4.66,7128197
16,2020-02-03,4.194,4.3,4.194,4.194,3878184
17,2020-02-04,4.159,4.447,4.159,4.437,6212765
18,2020-02-05,4.381,4.582,4.381,4.523,4423299
19,2020-02-06,4.523,4.652,4.48,4.643,3309252
20,2020-02-07,4.626,4.626,4.551,4.61,3652523
21,2020-02-10,4.6,4.657,4.4,4.656,4791668
22,2020-02-11,4.675,4.731,4.646,4.703,4680184
23,2020-02-12,4.691,4.741,4.675,4.739,4427864
24,2020-02-13,4.739,4.748,4.686,4.702,5441182
25,2020-02-14,4.702,4.775,4.702,4.743,4225425
26,2020-02-17,4.733,4.861,4.733,4.861,5880262
27,2020-02-18,4.863,4.87,4.786,4.836,5760454
28,2020-02-19,4.828,4.888,4.824,4.839,6227472
29,2020-02-20,4.831,4.988,4.831,4.979,6281854
30,2020-02-21,4.978,5.044,4.968,5.001,1999374
31,2020-02-24,4.991,5.047,4.946,5.03,3187955
32,2020-02-25,4.98,5.061,4.865,5.054,6673869
33,2020-02-26,5.003,5.021,4.908,4.929,3427680
34,2020-02-27,4.929,5.012,4.918,4.95,2752717
35,2020-02-28,4.901,4.901,4.723,4.74,3840810
36,2020-03-02,4.749,4.964,4.749,4.931,4301275
37,2020-03-03,4.942,5.048,4.909,4.952,1568128
38,2020-03-04,4.921,4.952,4.869,4.95,1063265
39,2020-03-05,4.985,5.099,4.958,5.082,2595414
40,2020-03-06,5.031,5.061,4.999,5.003,1089276
41,2020-03-09,4.975,4.975,4.824,4.826,5306811
42,2020-03-10,4.817,4.951,4.764,4.94,3854953
43,2020-03-11,5.0,5.0,4.862,4.865,2362929
44,2020-03-12,4.862,4.862,4.695,4.735,1835282
45,2020-03-13,4.695,4.74,4.4,4.684,4027427
46,2020-03-16,4.684,4.684,4.401,4.419,2078934
47,2020-03-17,4.508,4.508,4.265,4.391,2998251
48,2020-03-18,4.434,4.514,4.318,4.32,2970942
49,2020-03-19,4.362,4.362,4.144,4.29,2599350
50,2020-03-20,4.333,4.367,4.275,4.361,1726612
51,2020-03-23,4.317,4.317,4.146,4.161,1411203
52,2020-03-24,4.203,4.288,4.172,4.285,1504211
53,2020-03-25,4.328,4.45,4.328,4.441,1672841
54,2020-03-26,4.382,4.449,4.382,4.398,2457391
55,2020-03-27,4.442,4.472,4.398,4.398,2885697
56,2020-03-30,4.354,4.354,4.273,4.325,3839649
57,2020-03-31,4.369,4.398,4.352,4.369,1846855
58,2020-04-01,4.363,4.437,4.362,4.365,3224170
59,2020-04-02,4.321,4.445,4.321,4.445,3491885
60,2020-04-03,4.447,4.45,4.396,4.416,2364303
61,2020-04-07,4.46,4.554,4.46,4.542,1889312
62,2020-04-08,4.516,4.53,4.497,4.511,1433911
63,2020-04-09,4.54,4.549,4.526,4.537,1212826
64,2020-04-10,4.512,4.58,4.481,4.497,1438794
65,2020-04-13,4.47,4.508,4.461,4.474,1760776
66,2020-04-14,4.507,4.578,4.501,4.577,2561528
67,2020-04-15,4.567,4.581,4.535,4.543,3183003
68,2020-04-16,4.498,4.545,4.322,4.537,3236976
69,2020-04-17,4.582,4.613,4.568,4.576,3428883
70,2020-04-20,4.588,4.598,4.574,4.592,5050992
71,2020-04-21,4.568,4.57,4.498,4.545,3255559
72,2020-04-22,4.51,4.606,4.51,4.605,1467239
73,2020-04-23,4.613,4.627,4.589,4.59,1288395
74,2020-04-24,4.594,4.607,4.544,4.557,2399270
75,2020-04-27,4.56,4.628,4.546,4.597,2350826
76,2020-04-28,4.595,4.66,4.512,4.641,3253732
77,2020-04-29,4.618,4.667,4.618,4.637,1650548
78,2020-04-30,4.68,4.736,4.68,4.725,3180092
79,2020-05-06,4.724,4.766,4.63,4.766,2147729
80,2020-05-07,4.756,4.768,4.737,4.75,1616590
81,2020-05-08,4.772,4.842,4.771,4.822,2387762
82,2020-05-11,4.82,4.865,4.778,4.806,1451300
83,2020-05-12,4.79,4.823,4.775,4.822,3060968
84,2020-05-13,4.79,4.852,4.788,4.842,1541239
85,2020-05-14,4.838,4.838,4.792,4.796,2455297
86,2020-05-15,4.796,4.814,4.767,4.78,1475715
87,2020-05-18,4.81,4.832,4.684,4.797,1387888
88,2020-05-19,4.811,4.851,4.811,4.845,2206857
89,2020-05-20,4.831,4.837,4.796,4.813,1429555
90,2020-05-21,4.835,4.839,4.776,4.784,1154710
91,2020-05-22,4.754,4.755,4.646,4.672,2026641
92,2020-05-25,4.657,4.684,4.631,4.666,1181812
93,2020-05-26,4.702,4.759,4.702,4.759,2549853
94,2020-05-27,4.737,4.743,4.68,4.692,4857740
95,2020-05-28,4.7,4.737,4.637,4.689,2598726
96,2020-05-29,4.674,4.741,4.674,4.732,2071896
97,2020-06-01,4.731,4.903,4.731,4.89,3609016
98,2020-06-02,4.894,4.906,4.878,4.895,1758954
99,2020-06-03,4.895,4.935,4.893,4.893,2765843
100,2020-06-04,4.922,4.93,4.895,4.924,2371609
101,2020-06-05,4.925,4.954,4.915,4.954,2012092
102,2020-06-08,5.02,5.04,4.971,4.983,871044
103,2020-06-09,4.989,5.029,4.981,5.014,2014741
104,2020-06-10,5.014,5.046,5.005,5.044,2410979
105,2020-06-11,5.038,5.068,4.965,4.993,3402528
106,2020-06-12,4.97,5.022,4.919,5.0,1510590
107,2020-06-15,4.99,5.035,4.965,4.967,2888977
108,2020-06-16,5.003,5.06,5.001,5.047,2792248
109,2020-06-17,5.036,5.04,5.009,5.038,1809872
110,2020-06-18,5.04,5.102,5.04,5.1,2607736
111,2020-06-19,5.1,5.213,5.1,5.197,1482623
112,2020-06-22,5.093,5.235,5.093,5.212,1281135
113,2020-06-23,5.217,5.27,5.195,5.27,1278246
114,2020-06-24,5.275,5.297,5.249,5.287,604752
115,2020-06-29,5.255,5.27,5.232,5.256,2151189
116,2020-06-30,5.275,5.38,5.275,5.371,2634465
117,2020-07-01,5.371,5.462,5.366,5.448,3258378
118,2020-07-02,5.443,5.518,5.429,5.515,3655560
