,date,open,high,low,close,volume,fundname
0,2021-04-28,1.012,1.033,1.005,1.028,109872834,sz159886
1,2021-04-29,1.033,1.038,1.02,1.032,27675374,sz159886
2,2021-04-30,1.034,1.053,1.024,1.044,18386554,sz159886
3,2021-05-06,1.05,1.053,1.02,1.035,12076519,sz159886
4,2021-05-07,1.03,1.047,1.009,1.01,12358821,sz159886
5,2021-05-10,1.009,1.019,0.995,1.007,8810466,sz159886
6,2021-05-11,0.997,1.0,0.977,0.998,6013369,sz159886
7,2021-05-12,0.993,1.005,0.989,0.997,10304325,sz159886
8,2021-05-13,0.998,0.998,0.979,0.979,7640243,sz159886
9,2021-05-14,0.981,1.005,0.971,1.002,10621440,sz159886
10,2021-05-17,1.003,1.035,0.989,1.032,15655590,sz159886
11,2021-05-18,1.064,1.064,1.02,1.024,6564422,sz159886
12,2021-05-19,1.023,1.046,1.014,1.036,12117038,sz159886
13,2021-05-20,1.036,1.05,1.015,1.036,8752440,sz159886
14,2021-05-21,1.038,1.053,1.025,1.029,9905711,sz159886
15,2021-05-24,1.033,1.044,1.016,1.033,12096506,sz159886
16,2021-05-25,1.027,1.051,1.027,1.051,6850089,sz159886
17,2021-05-26,1.051,1.057,1.043,1.043,9122667,sz159886
18,2021-05-27,1.039,1.053,1.035,1.051,7018512,sz159886
19,2021-05-28,1.051,1.084,1.051,1.067,11894055,sz159886
20,2021-05-31,1.067,1.101,1.067,1.1,10242607,sz159886
21,2021-06-01,1.101,1.101,1.075,1.093,5380535,sz159886
22,2021-06-02,1.088,1.107,1.08,1.088,5524240,sz159886
23,2021-06-03,1.088,1.09,1.067,1.067,6425852,sz159886
24,2021-06-04,1.067,1.095,1.062,1.081,7682198,sz159886
25,2021-06-07,1.08,1.08,1.052,1.061,9938682,sz159886
26,2021-06-08,1.062,1.08,1.058,1.063,10495906,sz159886
27,2021-06-09,1.067,1.068,1.055,1.066,5007668,sz159886
28,2021-06-10,1.067,1.108,1.067,1.1,15643378,sz159886
29,2021-06-11,1.099,1.125,1.095,1.114,11579046,sz159886
30,2021-06-15,1.118,1.123,1.094,1.101,7604168,sz159886
31,2021-06-16,1.101,1.101,1.056,1.057,7132322,sz159886
32,2021-06-17,1.061,1.076,1.061,1.074,9060105,sz159886
33,2021-06-18,1.069,1.11,1.069,1.105,7322620,sz159886
34,2021-06-21,1.096,1.124,1.094,1.119,7380205,sz159886
