,date,open,high,low,close,volume,fundname
0,2021-03-19,0.975,0.995,0.975,0.979,62582905,sz159851
1,2021-03-22,0.982,1.002,0.98,1.0,24145228,sz159851
2,2021-03-23,1.0,1.013,0.995,1.009,46863311,sz159851
3,2021-03-24,1.009,1.018,1.001,1.006,20546663,sz159851
4,2021-03-25,1.006,1.048,0.999,1.037,35799829,sz159851
5,2021-03-26,1.037,1.048,1.03,1.041,19279270,sz159851
6,2021-03-29,1.041,1.055,1.028,1.031,15229651,sz159851
7,2021-03-30,1.021,1.052,1.021,1.026,8827734,sz159851
8,2021-03-31,1.029,1.042,1.028,1.031,13922461,sz159851
9,2021-04-01,1.038,1.038,1.024,1.033,10183944,sz159851
10,2021-04-02,1.031,1.052,1.031,1.041,6827174,sz159851
11,2021-04-06,1.043,1.05,1.038,1.045,8887872,sz159851
12,2021-04-07,1.036,1.042,1.027,1.035,4721644,sz159851
13,2021-04-08,1.035,1.035,1.026,1.028,4227038,sz159851
14,2021-04-09,1.034,1.034,1.018,1.023,7755500,sz159851
15,2021-04-12,1.021,1.025,1.006,1.011,5858422,sz159851
16,2021-04-13,1.015,1.026,1.008,1.02,3574126,sz159851
17,2021-04-14,1.028,1.034,1.017,1.033,5457549,sz159851
18,2021-04-15,1.032,1.046,1.025,1.033,7058652,sz159851
19,2021-04-16,1.033,1.059,1.032,1.057,13484672,sz159851
20,2021-04-19,1.057,1.079,1.048,1.076,7821215,sz159851
21,2021-04-20,1.078,1.087,1.067,1.068,7431398,sz159851
22,2021-04-21,1.083,1.083,1.06,1.067,4167422,sz159851
23,2021-04-22,1.067,1.082,1.066,1.08,5246122,sz159851
24,2021-04-23,1.08,1.08,1.065,1.069,5538235,sz159851
25,2021-04-26,1.074,1.077,1.049,1.052,3520247,sz159851
26,2021-04-27,1.051,1.054,1.037,1.054,4364714,sz159851
27,2021-04-28,1.056,1.056,1.038,1.048,3616615,sz159851
28,2021-04-29,1.047,1.054,1.044,1.051,2903619,sz159851
29,2021-04-30,1.05,1.051,1.036,1.042,4222005,sz159851
30,2021-05-06,1.033,1.048,1.024,1.038,2384801,sz159851
31,2021-05-07,1.038,1.047,1.032,1.033,2451306,sz159851
32,2021-05-10,1.045,1.06,1.035,1.055,5332420,sz159851
33,2021-05-11,1.056,1.064,1.044,1.057,8621023,sz159851
34,2021-05-12,1.057,1.064,1.044,1.062,4679018,sz159851
35,2021-05-13,1.051,1.073,1.048,1.06,2593408,sz159851
36,2021-05-14,1.065,1.105,1.061,1.104,9513044,sz159851
37,2021-05-17,1.104,1.105,1.091,1.094,4663625,sz159851
38,2021-05-18,1.09,1.105,1.088,1.098,3971430,sz159851
39,2021-05-19,1.099,1.101,1.088,1.091,1958547,sz159851
40,2021-05-20,1.088,1.097,1.08,1.092,2410509,sz159851
41,2021-05-21,1.092,1.093,1.073,1.074,2034902,sz159851
42,2021-05-24,1.078,1.107,1.078,1.099,5781107,sz159851
43,2021-05-25,1.099,1.139,1.096,1.135,4415060,sz159851
44,2021-05-26,1.15,1.154,1.129,1.133,7998314,sz159851
45,2021-05-27,1.12,1.158,1.12,1.135,3918057,sz159851
46,2021-05-28,1.134,1.138,1.125,1.13,2831022,sz159851
47,2021-05-31,1.13,1.148,1.128,1.148,3361382,sz159851
48,2021-06-01,1.152,1.16,1.134,1.142,5796018,sz159851
49,2021-06-02,1.144,1.144,1.114,1.118,7215701,sz159851
50,2021-06-03,1.118,1.137,1.111,1.112,6603501,sz159851
51,2021-06-04,1.098,1.12,1.098,1.105,5795901,sz159851
52,2021-06-07,1.099,1.127,1.099,1.127,4106810,sz159851
53,2021-06-08,1.129,1.149,1.129,1.133,3781120,sz159851
54,2021-06-09,1.114,1.14,1.114,1.137,2090028,sz159851
55,2021-06-10,1.123,1.193,1.123,1.191,9317998,sz159851
56,2021-06-11,1.216,1.22,1.195,1.205,7840502,sz159851
57,2021-06-15,1.193,1.223,1.19,1.203,6574306,sz159851
58,2021-06-16,1.19,1.208,1.173,1.184,5032104,sz159851
59,2021-06-17,1.184,1.219,1.172,1.21,6302920,sz159851
60,2021-06-18,1.21,1.229,1.198,1.218,3251903,sz159851
61,2021-06-21,1.203,1.24,1.203,1.24,5303022,sz159851
62,2021-06-22,1.237,1.253,1.232,1.237,3262646,sz159851
63,2021-06-23,1.243,1.243,1.221,1.236,3258300,sz159851
64,2021-06-24,1.237,1.24,1.214,1.215,2798216,sz159851
65,2021-06-25,1.215,1.239,1.2,1.219,4608702,sz159851
