,date,open,high,low,close,volume,fundname
0,2021-05-20,0.992,0.992,0.976,0.98,38521950,sh513690
1,2021-05-21,0.981,0.985,0.974,0.98,29279600,sh513690
2,2021-05-24,0.98,0.986,0.98,0.985,7198400,sh513690
3,2021-05-25,0.985,0.99,0.982,0.986,16420200,sh513690
4,2021-05-26,0.986,0.995,0.985,0.995,31479700,sh513690
5,2021-05-27,0.99,0.997,0.989,0.996,26286200,sh513690
6,2021-05-28,0.995,1.0,0.994,0.996,6308700,sh513690
7,2021-05-31,0.991,0.996,0.982,0.986,11204400,sh513690
8,2021-06-01,0.986,0.986,0.981,0.984,6461400,sh513690
9,2021-06-02,0.984,0.995,0.984,0.99,9723800,sh513690
10,2021-06-03,0.99,0.994,0.987,0.988,3898300,sh513690
11,2021-06-04,0.985,0.989,0.984,0.988,7461600,sh513690
12,2021-06-07,0.987,0.988,0.985,0.987,8214700,sh513690
13,2021-06-08,0.991,0.991,0.983,0.988,8471000,sh513690
14,2021-06-09,0.989,0.993,0.988,0.992,7736200,sh513690
15,2021-06-10,0.99,0.994,0.989,0.989,6554200,sh513690
16,2021-06-11,0.99,0.99,0.984,0.988,15161000,sh513690
17,2021-06-15,0.987,0.99,0.976,0.981,17280600,sh513690
18,2021-06-16,0.979,0.981,0.977,0.979,14220900,sh513690
